Dates,Prices
10/31/2020,10.10
11/30/2020,10.30
12/31/2020,11.00
1/31/2021,10.90
2/28/2021,10.90
3/31/2021,10.90
4/30/2021,10.40
5/31/2021,9.84
6/30/2021,10.00
7/31/2021,10.10
8/31/2021,10.30
9/30/2021,10.20
10/31/2021,10.10
11/30/2021,11.20
12/31/2021,11.40
1/31/2022,11.50
2/28/2022,11.80
3/31/2022,11.50
4/30/2022,10.70
5/31/2022,10.70
6/30/2022,10.40
7/31/2022,10.50
8/31/2022,10.40
9/30/2022,10.80
10/31/2022,11.00
11/30/2022,11.60
12/31/2022,11.60
1/31/2023,12.10
2/28/2023,11.70
3/31/2023,12.00
4/30/2023,11.50
5/31/2023,11.20
6/30/2023,10.90
7/31/2023,11.40
8/31/2023,11.10
9/30/2023,11.50
10/31/2023,11.80
11/30/2023,12.20
12/31/2023,12.80
1/31/2024,12.60
2/29/2024,12.40
3/31/2024,12.70
4/30/2024,12.10
5/31/2024,11.40
6/30/2024,11.50
7/31/2024,11.60
8/31/2024,11.50
9/30/2024,11.80
